,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR
911,19.5,27.1,23.8,80.0,8.0,110.0,3,8,80.8,82.0,81.0,78.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
912,20.8,27.5,24.4,79.0,8.0,120.0,3,8,80.8,81.0,78.0,80.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
913,21.8,28.0,24.6,82.0,8.0,130.0,4,8,80.0,78.0,80.0,79.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
914,22.3,28.6,24.7,84.0,9.0,110.0,3,8,80.0,80.0,79.0,82.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
915,22.6,27.7,24.5,82.0,9.0,110.0,3,8,80.6,79.0,82.0,84.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.053571429000000004
916,22.6,28.2,25.4,80.0,8.0,120.0,3,8,81.4,82.0,84.0,82.0,8.0,9.0,9.0,0.010714286000000002,0.0,0.0,0.053571429000000004,0.0
917,21.2,28.1,24.2,82.0,8.0,140.0,3,8,81.4,84.0,82.0,80.0,9.0,9.0,8.0,0.010714286000000002,0.0,0.053571429000000004,0.0,0.0
918,22.0,28.0,25.0,81.0,9.0,140.0,3,8,82.0,82.0,80.0,82.0,9.0,8.0,8.0,0.010714286000000002,0.053571429000000004,0.0,0.0,0.0
919,23.6,28.0,25.3,76.0,8.0,120.0,4,8,81.8,80.0,82.0,81.0,8.0,8.0,9.0,0.010714286000000002,0.0,0.0,0.0,0.053571429000000004
920,22.7,27.8,24.4,76.0,8.0,110.0,4,8,80.2,82.0,81.0,76.0,8.0,9.0,8.0,0.021428571,0.0,0.0,0.053571429000000004,0.0
921,20.5,28.2,23.6,80.0,9.0,110.0,3,8,79.0,81.0,76.0,76.0,9.0,8.0,8.0,0.010714286000000002,0.0,0.053571429000000004,0.0,0.0
922,21.2,28.2,25.3,79.0,8.0,130.0,3,8,79.0,76.0,76.0,80.0,8.0,8.0,9.0,0.010714286000000002,0.053571429000000004,0.0,0.0,0.0
923,23.8,30.8,25.1,85.0,8.0,120.0,3,8,78.4,76.0,80.0,79.0,8.0,9.0,8.0,0.010714286000000002,0.0,0.0,0.0,0.5
924,23.8,28.8,25.7,88.0,7.0,170.0,4,8,79.2,80.0,79.0,85.0,9.0,8.0,8.0,0.110714286,0.0,0.0,0.5,0.0
925,24.6,28.3,25.5,85.0,9.0,110.0,3,8,81.6,79.0,85.0,88.0,8.0,8.0,7.0,0.1,0.0,0.5,0.0,0.0
926,23.8,28.4,26.1,79.0,10.0,110.0,3,8,83.4,85.0,88.0,85.0,8.0,7.0,9.0,0.1,0.5,0.0,0.0,1.0
927,24.2,28.3,25.5,80.0,10.0,120.0,3,8,83.2,88.0,85.0,79.0,7.0,9.0,10.0,0.3,0.0,0.0,1.0,0.0
928,21.0,28.1,24.7,76.0,7.0,150.0,4,9,83.4,85.0,79.0,80.0,9.0,10.0,10.0,0.3,0.0,1.0,0.0,0.0
929,21.7,28.3,24.4,81.0,7.0,140.0,3,9,81.6,79.0,80.0,76.0,10.0,10.0,7.0,0.2,1.0,0.0,0.0,0.0
930,21.2,28.4,25.4,78.0,8.0,110.0,3,9,80.2,80.0,76.0,81.0,10.0,7.0,7.0,0.2,0.0,0.0,0.0,0.0
931,23.2,28.5,25.6,83.0,8.0,150.0,3,9,78.8,76.0,81.0,78.0,7.0,7.0,8.0,0.2,0.0,0.0,0.0,0.0
932,23.6,28.4,25.8,83.0,7.0,120.0,3,9,79.6,81.0,78.0,83.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
933,24.1,29.0,26.0,84.0,8.0,120.0,3,9,80.2,78.0,83.0,83.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
934,23.2,29.2,26.0,82.0,8.0,120.0,3,9,81.8,83.0,83.0,84.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0
935,24.0,28.9,26.3,80.0,8.0,130.0,3,9,82.0,83.0,84.0,82.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
936,23.6,29.0,26.0,82.0,8.0,130.0,3,9,82.4,84.0,82.0,80.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
937,23.2,28.7,25.8,82.0,8.0,140.0,3,9,82.2,82.0,80.0,82.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
938,22.6,29.8,25.9,80.0,8.0,110.0,3,9,82.0,80.0,82.0,82.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
939,23.0,29.6,26.3,78.0,9.0,130.0,3,9,81.2,82.0,82.0,80.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
940,23.0,29.6,26.0,77.0,8.0,100.0,4,9,80.4,82.0,80.0,78.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0
941,24.0,29.6,26.1,77.0,7.0,140.0,3,9,79.8,80.0,78.0,77.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
